@relation train_right_selected.arff

@attribute Upper_Stretch numeric
@attribute Rate_of_Change_Max_ numeric
@attribute Rate_of_Change_Min_ numeric
@attribute Respiration_Duration_dist numeric
@attribute Upper_Stretch_dist numeric
@attribute Rate_of_Change_Min__dist numeric
@attribute Lower_Stretch_ratio numeric
@attribute Magnitude_Mean_ numeric
@attribute Wrist_Duration numeric
@attribute Pitch_Median_ numeric
@attribute Roll_Mean_ numeric
@attribute Roll_Median_ numeric
@attribute RStime-WEtime numeric

@attribute class {puff,nonpuff}

@data
264.68560516,22.12903073,-20.57038310,-210.93750000,75.22263211,-7.75300517,1.88423709,157.65633210,437.50000000,39.22555394,51.35783781,51.72158436,1195.62500000,nonpuff
284.02367158,16.18411933,-17.79232625,-773.43750000,99.22922607,-6.39328236,0.78514915,140.88753220,3375.00000000,42.45093861,69.27460676,67.69808904,258.12500000,nonpuff
166.40367086,9.56205513,-11.42293979,-539.06250000,-10.57897817,-0.02389590,0.64919209,84.89423124,2750.00000000,43.39009193,37.24828847,28.58226254,664.37500000,nonpuff
147.39512830,12.18768087,-10.30208027,2414.06250000,-29.58752073,1.09696361,1.18246875,35.55698868,1250.00000000,31.99869966,-4.62182645,-5.47073526,226.87500000,nonpuff
169.24882045,14.51901360,-13.40435515,1148.43750000,-18.09790801,-1.39054572,1.40817403,181.71641484,1000.00000000,41.87256052,25.41050474,26.79017449,2555.00000000,nonpuff
169.24882045,14.51901360,-13.40435515,1148.43750000,-18.09790801,-1.39054572,1.40817403,200.55075082,1437.50000000,40.14546534,12.71504000,15.56550908,55.00000000,nonpuff
121.09951352,14.54439042,-3.67995231,164.06250000,-55.88313551,7.71909158,1.39147084,201.70946570,1000.00000000,38.24193603,54.29887685,53.04441086,1992.50000000,nonpuff
121.09951352,14.54439042,-3.67995231,164.06250000,-55.88313551,7.71909158,1.39147084,219.92832720,437.50000000,32.05034830,11.98602088,9.83452488,805.00000000,nonpuff
121.09951352,14.54439042,-3.67995231,164.06250000,-55.88313551,7.71909158,1.39147084,109.49110137,437.50000000,38.39652740,67.34888205,68.31481060,-695.00000000,nonpuff
282.24631904,9.56908451,-16.32060614,-445.31250000,94.89959058,-4.30679670,0.38945111,132.62755652,2312.50000000,42.99426207,59.20955649,54.47767075,-210.62500000,nonpuff
189.97697931,12.43483924,-16.29984516,-515.62500000,-1.83370229,-3.29532803,0.95489865,85.52120534,875.00000000,39.65524943,53.43929442,53.24893351,523.75000000,nonpuff
755.29581684,31.13903943,-43.70733030,726.56250000,557.84534262,-29.26529262,1.19361236,193.82192923,4312.50000000,45.09063687,27.05866722,24.48780369,2555.00000000,nonpuff
441.38078941,20.78379747,-19.16053116,5156.25000000,183.95151936,-0.76163149,1.75851293,135.49472677,687.50000000,33.50012441,-99.22504528,-99.95748162,-773.12500000,nonpuff
359.16602693,30.27719898,-25.14881371,4054.68750000,22.37814899,6.90201720,1.13369573,183.15106915,3437.50000000,32.26141016,95.07971357,96.46977699,-2286.25000000,nonpuff
359.16602693,30.27719898,-25.14881371,4054.68750000,22.37814899,6.90201720,1.13369573,140.42652210,1500.00000000,31.34394720,72.83220274,72.49355447,-3973.75000000,nonpuff
244.86040155,17.81368891,-34.37141640,1007.81250000,-104.51704834,-2.32058550,1.02674856,202.61093978,812.50000000,54.92011322,107.29924198,107.21581985,-364.37500000,nonpuff
754.02035221,35.75465790,-45.66181754,9257.81250000,397.01070797,-12.91126468,1.22925926,177.82028794,625.00000000,55.83562797,116.30739160,116.07951334,-1239.37500000,nonpuff
62.43270772,34.38389557,-36.17394877,-70.31250000,-294.57693652,-3.42339591,1.28528984,94.77417117,3000.00000000,64.58059195,101.26222249,101.43405792,3323.12500000,nonpuff
412.59287820,25.68566506,-16.79530167,93.75000000,36.85581506,10.19763700,0.41267493,83.50669035,2187.50000000,52.79116547,31.41788757,30.22370237,3739.37500000,nonpuff
348.72748569,29.94146258,-20.66831669,562.50000000,-58.94227370,6.32462199,0.84026035,31.00972380,5625.00000000,51.65282984,30.01969327,30.18179848,1426.87500000,nonpuff
735.37135989,51.04843566,-35.70753315,351.56250000,290.12858705,-6.18238010,0.92751385,12.82546865,6750.00000000,51.11694488,30.07323871,30.27604983,-526.25000000,nonpuff
1701.36665562,133.21462516,-56.33369127,1125.00000000,1133.24786193,-6.89046627,1.65372253,110.70966134,375.00000000,51.15577219,75.84275900,76.71772927,2145.62500000,nonpuff
833.04459459,35.83667905,-55.49522207,1921.87500000,307.84063511,-7.02994218,0.66548661,185.45613263,3562.50000000,39.59728299,76.48967491,71.12293070,833.12500000,nonpuff
1208.27373826,72.00974963,-61.82689124,3703.12500000,775.94983396,-23.24469375,1.63138081,164.16070458,5062.50000000,60.31817706,79.96438517,78.67345256,-3807.50000000,puff
1122.46242497,53.86197138,-47.06513882,4195.31250000,920.09880578,-29.11315520,0.84718920,63.71202322,5000.00000000,57.39883962,95.32704047,100.90781762,-4113.12500000,puff
608.61214391,46.73199661,-20.22720450,-351.56250000,124.98931634,20.26890373,0.56677329,600.31222261,1687.50000000,58.26196678,93.59716609,100.65580821,1590.00000000,nonpuff
798.03054601,52.58932248,-67.45461101,70.31250000,194.11599530,-10.52092919,0.96585255,806.73053130,375.00000000,54.43534285,9.50950487,6.76082963,1215.00000000,nonpuff
477.24706593,44.88614857,-41.47969438,-70.31250000,-48.91823677,0.40046812,1.00000000,293.91709603,1187.50000000,59.54930286,90.16812255,94.08106103,-263.87500000,nonpuff
2477.64195241,131.77449778,-149.86412517,5343.75000000,1924.85561454,-106.81354930,2.97232458,247.86670583,1625.00000000,32.64768742,106.63041774,106.27596010,2095.50000000,nonpuff
773.84280134,42.42861853,-33.97614924,257.81250000,338.21394850,-5.52454255,1.07245706,113.79031920,5500.00000000,59.41756046,83.42475301,87.64943574,-1076.62500000,nonpuff
